,DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1484,2016,NonResidential,Office,2010.0,1.0,2054590.0,81.7,81.0,189.8,192.6,181244836.9,112059224.2,2350986.5,24303.2,11.0,41.88484639,-87.61989893,quin3,80.0
1485,2016,NonResidential,Office,2005.0,1.0,942732.0,58.4,59.0,183.3,185.4,55026620.6,55026620.6,6267428.2,10142.6,10.8,41.88165139,-87.62884674,quin4,84.0
1486,2016,NonResidential,Office,1985.0,1.0,1200000.0,102.8,108.0,254.5,259.8,123412050.6,84099419.6,39312631.0,17589.4,14.7,41.88517287,-87.63173182,quin2,51.0
1487,2016,NonResidential,Office,2001.0,1.0,1603374.0,95.9,95.3,234.4,238.4,153743171.60000002,103744384.9,6267428.2,21757.2,13.6,41.88230154,-87.63605799999999,quin3,78.0
1488,2016,NonResidential,Office,1992.0,1.0,1200836.0,70.0,70.4,219.9,221.0,84083758.5,84083758.5,6267428.2,15498.4,12.9,41.88490511,-87.6305179,quin3,78.0
1489,2016,NonResidential,Office,1982.0,1.0,1343438.0,49.2,49.2,154.5,154.5,66106442.3,66106442.3,6267428.2,12184.8,9.1,41.88155817,-87.63615089,quin4,90.0
1490,2016,Multifamily Housing,Multifamily Housing,1920.0,1.0,50560.0,140.7,82.7,165.3,156.05,7037269.7,419734.0,6617535.7,428.9,8.6,41.76259226,-87.57231648,quin4,84.0
1491,2016,NonResidential,Office,1971.0,1.0,1237455.0,83.5,87.0,206.0,209.6,103333722.6,70027751.5,33305971.1,14676.6,11.9,41.8787371,-87.63898537,quin4,91.0
1492,2016,NonResidential,Office,1974.0,1.0,1526102.0,116.4,120.1,247.4,251.3,177562391.5,91408333.0,86154058.5,21424.5,14.0,41.88031326,-87.63191186,quin2,57.0
1493,2016,NonResidential,Office,1906.0,1.0,638592.0,106.1,111.6,240.0,245.9,67741829.5,39305625.8,28436203.7,8755.2,13.7,41.88385328,-87.63167966,quin2,55.0
1494,2016,NonResidential,Mixed Use Property,1975.0,1.0,2054590.0,60.1,63.4,128.9,132.4,190772159.3,100136160.8,90635998.5,23271.3,7.3,41.87881863,-87.62895341,quin4,87.0
1495,2016,NonResidential,Office,1989.0,1.0,1392096.0,67.5,67.5,209.6,209.6,94004351.1,92386109.8,1618241.3,17114.7,12.3,41.88642141,-87.62903061,quin4,83.0
1496,2016,NonResidential,Courthouse,1965.0,1.0,1541766.0,73.0,77.6,153.7,157.1,112584898.19999999,56799222.8,55785675.4,13432.3,8.7,41.88409726,-87.63019634,quin4,87.0
