,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility
0,-0.9777894850581242,-0.1859171842970881,0.05326650669302472,-0.17408400046468867,-0.36090238359636184,-0.4618806213338661,-0.5738692733430737,-0.01991369659468174,-0.29396601393753585,0.3841395057949105,-0.1759765530947817,-0.44883931083807194,1.2246708473670906,-1.2201978888455296,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.7649655287207955,-0.1859171842970881,0.40141431822001,0.18154868241996672,0.033190166903182286,0.9511562441891075,0.8504407598219147,0.46047624799706555,1.0056387006025505,-0.2981148401957335,0.8646133441007389,1.1481789363494017,-1.2151378565190194,-1.3876706971397907,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-0.06491781117392821,-0.1859171842970881,-0.1377052583994674,-0.08517582974352482,-0.2514322306798218,-0.3602232928789759,-0.44066042132044886,-0.1458991809330741,-0.33271207818402915,0.16626472736927034,-0.24990371367721276,-0.347868715652352,-1.9783561915468661,-0.6069171419379916,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,-0.7841500390826888,-0.1859171842970881,0.06282875530280616,-0.06294878706323385,-0.2514322306798218,-0.3297260943425089,-0.4304135865494777,0.028570363557430718,-0.23572189632352153,0.4110661198179937,-0.11887833963680645,-0.3142118505904451,0.7824357133079497,-2.6535947630731633,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,-0.9501267070616335,-0.1859171842970881,-0.005385594208343248,0.02595938365792999,-0.2733262612631298,-0.1874058345056626,-0.32794523883976634,0.003953850954905083,-0.2013170211126148,0.31335850366678475,-0.10585594007621561,-0.16107311455876952,-0.9722911479257509,-0.810755866107957,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,-0.06491781117392821,-0.1859171842970881,0.1876488845128303,3.5600591698241932,3.3610828155659993,2.669165095076752,2.6128963404289505,1.8088122607417494,0.7963857812489289,2.8532024663756905,1.2450677558786158,2.61730109630163,-2.358304077056741,1.8089073493741965,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1.1245816426751758,-0.1859171842970881,-0.04292698225034517,0.7816788347878226,0.5586469009025745,0.5546926632150357,0.45081420375404024,0.24211590624204415,0.008207927921949113,0.5462181054815515,0.12373898140743216,0.5894749763217502,-2.095145158500522,0.3943113215135365,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,-0.20323170115638217,-0.1859171842970881,0.05336759332118527,0.2482298104608396,0.12076628923641432,-0.38055475856995397,-0.44066042132044886,0.14998426244276133,-0.37693574107869343,0.8555733953574205,-0.16535828883768453,-0.42191381878854667,-0.6583153150483251,0.7295564395038743,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,-1.3927311550054862,-0.1859171842970881,0.12495605055607184,0.47050023726374923,0.27402450331957035,0.1887262807774311,0.09217498677005038,0.31929632167554894,-0.02359193710795376,0.7526404189409289,0.13255414418690903,0.20410387136291835,1.5855855657023785,-0.23833725111052612,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,-0.1479061451634006,-0.1859171842970881,0.15835288684349136,-0.574170768709926,-0.689312842345982,-0.5228750184068002,-0.594362942885016,-0.11195281678449716,-0.1610593711117548,0.013210391541361426,-0.12388695485241831,-0.46061921360973934,-1.4039554579804103,-2.5526406207206533,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
